id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
35236534,Cozy Room& Area in Queensâª,200239515,Queens,Woodside,40.74258,-73.89315,Private room,40,30,40
34280940,"Mi casa es tu casa, HabitaciÃ³n 1",241565326,Queens,Woodside,40.7432,-73.90304,Private room,50,1,81
24287062,Sally's hideaway,180289633,Queens,Woodside,40.7466,-73.89175999999999,Entire home/apt,150,4,321
31834161,Great Access! 2min frm station U can use 5 lines!!,200239515,Queens,Woodside,40.74438,-73.89161,Private room,40,30,44
35876561,Modern house (2 BR Apt) â¢ 30Mins from Time Square1,76360760,Queens,Woodside,40.744,-73.90185,Entire home/apt,169,1,60
34165293,Clean w/ lovely interiors. Nice loc Woodside room!,137358866,Queens,Woodside,40.74654,-73.90776,Private room,60,30,215
34948460,Private Bedroom from Modern House.,259013161,Queens,Woodside,40.74465,-73.90335999999999,Private room,89,1,70
27733012,9mins to LGA; 28mins to JFK (4),158407820,Queens,Woodside,40.75391,-73.90256,Private room,53,2,156
13941973,Affordable room near of LGA airport in Queens.,46712160,Queens,Woodside,40.74071,-73.89186,Private room,55,1,31
13100277,"Bright, inviting room-quick to NYC, females only.",35494734,Queens,Woodside,40.75266,-73.90335999999999,Private room,70,5,138
27057790,EXC Location & Huge duplex Renovated Apt,19303369,Queens,Woodside,40.74353,-73.90443,Private room,35,29,30
19533966,Modern 3 Bedroom 2 BATH! 18 min to Times Sq+More!,137208202,Queens,Woodside,40.74695,-73.90177,Entire home/apt,275,3,293
31773364,Spacious room with easy commute to Grand Central!,137358866,Queens,Woodside,40.744659999999996,-73.90899999999999,Private room,38,30,244
30509757,"Cozy area, Woodside!  w/ 3windows& AC",200239515,Queens,Woodside,40.7434,-73.89908,Private room,32,30,38
34598389,"3Bdrm home w/Parking! 10min Manhattan,5min Airport",261028352,Queens,Woodside,40.74268,-73.90021999999999,Entire home/apt,146,2,89
21283357,Brand New Fully Remodeled Modern House,153988027,Queens,Woodside,40.742670000000004,-73.8996,Entire home/apt,255,4,285
34655267,"NEW-Amazing 1 Bed. Apt., 10 Mins. to Manhattan!",78733280,Queens,Woodside,40.74661,-73.90301,Entire home/apt,89,30,333
3325617,LEGAL studio in Queens,16790098,Queens,Woodside,40.745490000000004,-73.90872,Entire home/apt,105,2,70
34125558,"Lux RM near 61St Station, laundry elevator & more!",137358866,Queens,Woodside,40.74123,-73.90151999999999,Private room,59,30,247
15956155,Only 15 minutes from Manhattan,103605111,Queens,Woodside,40.743809999999996,-73.89726,Private room,45,2,52
34126627,Woodside condo room close to Midtown / LGA.,137358866,Queens,Woodside,40.74165,-73.90155,Private room,59,30,260
6900168,Wanderlust. A perfect private space to unwind.,2831384,Queens,Woodside,40.74198,-73.89558000000001,Entire home/apt,125,1,246
23213107,NYCTH Master Room,172640229,Queens,Woodside,40.74301,-73.8954,Private room,46,1,96
33046072,Large 2 Bed Woodside apt 10 Minutes from Manhattan,154525001,Queens,Woodside,40.74443,-73.90885,Entire home/apt,125,1,288
29041626,Cosy room with Queen bed,27084741,Queens,Woodside,40.74459,-73.91167,Private room,90,1,173
31174610,Brilliant BR w/ Private Bath near LGA & Manhattan,137358866,Queens,Woodside,40.74451,-73.90782,Private room,60,30,209
29184419,"20 minutes from Manhattan, 1 block from subway",492457,Queens,Woodside,40.74364,-73.90222,Private room,50,2,308
27329048,Newly renovated & spacious Woodside room,137358866,Queens,Woodside,40.74411,-73.91077,Private room,40,30,216
14446960,"Cozy 3 Bedroom, 20 Minutes to Times Square!",88960729,Queens,Woodside,40.74321,-73.89988000000001,Entire home/apt,199,3,302
34154569,NEW APT - 15 MINS TO MANHATTAN!,6004860,Queens,Woodside,40.74807,-73.9028,Entire home/apt,79,30,333
29081547,Cozy renovated NYC Gateway - 7 min M/R Train (2),158407820,Queens,Woodside,40.753679999999996,-73.90216,Private room,53,2,157
32989626,Very nice room - 15min away to Manhattan,248272030,Queens,Woodside,40.74299,-73.90295,Private room,50,7,225
31164039,Amazing BR w/ Private Bath near subway & Manhattan,137358866,Queens,Woodside,40.74524,-73.90637,Private room,70,30,269
34169778,22min from Manhattan,28096614,Queens,Woodside,40.742490000000004,-73.90603,Private room,50,2,257
14499123,Spacious  Home 15 Minutes Away From Manhattan,89523770,Queens,Woodside,40.75328,-73.90855,Entire home/apt,300,2,228
34179924,Comfy Room in the Heart of Queens,258058607,Queens,Woodside,40.744440000000004,-73.896,Private room,125,1,90
27534625,Woodside NY Cozy Room-15/20 mins from Time Square.,91646104,Queens,Woodside,40.74344,-73.91076,Private room,51,3,146
21356244,Cozy private Apartment in Convenient Neighborhood,146000975,Queens,Woodside,40.74377,-73.90482,Entire home/apt,120,1,287
1325432,"Private Room in Woodside, Queens: Good Deal!",2989617,Queens,Woodside,40.74265,-73.89780999999999,Private room,79,2,353
30694973,Door man condo near 61st St station,137358866,Queens,Woodside,40.74188,-73.90146,Private room,61,30,230
30756898,Lux renovated room 19mins ride to Grand Central,137358866,Queens,Woodside,40.74491,-73.90824,Private room,40,30,247
18507990,Cozy One Bedroom in a Private House.Safe & Quite.,38604449,Queens,Woodside,40.75558,-73.90534,Private room,45,2,242
35130273,Big Spacious Bedroom 20 mins from Time Square.,91646104,Queens,Woodside,40.74237,-73.91112,Private room,65,3,65
30801068,Spacious bedroom in a quiet commuter town.,137358866,Queens,Woodside,40.74031,-73.89213000000001,Private room,33,30,236
21913811,"Cooled Queens Apartment, NY. LGA Airport 5 min.",147095935,Queens,Woodside,40.74496,-73.89534,Entire home/apt,99,1,320
519310,YOU ROOM IN NYC,1366310,Queens,Woodside,40.74377,-73.91225,Private room,75,2,317
25274161,Beautiful Single Room,37842947,Queens,Woodside,40.75607,-73.90146,Private room,80,1,89
31269983,Lux Condo Room Close to Manhattan. WiFi & Balcony!,137358866,Queens,Woodside,40.74181,-73.90279,Private room,61,30,123
34197733,Beautiful 3 Bedroom 15 Minutes To Manhattan NYC,258186526,Queens,Woodside,40.74823,-73.90352,Entire home/apt,189,2,62
23090887,"Family Apartment.  Close to city. 3 bed, 2 Bath",116365995,Queens,Woodside,40.746520000000004,-73.90738,Entire home/apt,289,4,271
34184764,"NEW - STEPS TO SUBWAY, NO STOP TO MANHATTAN!",110375726,Queens,Woodside,40.74625,-73.90311,Entire home/apt,99,30,333
24692025,Hermoso Penthouse con terraza privada.,163421878,Queens,Woodside,40.743120000000005,-73.91185,Private room,55,1,332
33116655,Very quite and convenient location.,38604449,Queens,Woodside,40.75563,-73.90493000000001,Private room,50,2,262
23108435,A very spacious Zen place to vacay.,146172048,Queens,Woodside,40.75524,-73.90701,Private room,49,4,87
35005367,"Beautiful 3 bedroom close to Times Square, NYC",263721494,Queens,Woodside,40.74357,-73.90894,Entire home/apt,189,1,212
18268053,Location Angel Boy,3250450,Queens,Woodside,40.75527,-73.90835,Private room,40,31,362
34167620,"comfortable room, 25min from manhattan",28096614,Queens,Woodside,40.742979999999996,-73.90581999999999,Private room,50,2,266
31997308,Cozy Studio,239906704,Queens,Woodside,40.74286,-73.91076,Private room,120,2,365
33798189,Charming RM w/ own bath. Easy Midtown & LGA access,137358866,Queens,Woodside,40.74496,-73.90779,Private room,59,30,252
8886292,Spacious MasterBedRoom 15min to NYC,43908809,Queens,Woodside,40.74968,-73.90333000000001,Private room,170,1,90
34394888,Room w/ lots of Natural Light. Near 69st 7 train.,137358866,Queens,Woodside,40.743,-73.89444,Private room,47,30,246
23582823,Cozy and charming 01 bedroom studio,4436365,Queens,Woodside,40.75524,-73.90768,Entire home/apt,120,3,180
11823125,"Peaceful, cozy and safe condo/apt",62978797,Queens,Woodside,40.75631,-73.90199,Private room,86,2,365
22350243,Nice Penthouse very close to Manhattan and airport,163421878,Queens,Woodside,40.74416,-73.91136999999999,Private room,75,1,344
9415685,Master Room & private bathroom 15m to Manhattan,43908809,Queens,Woodside,40.750659999999996,-73.90424,Private room,155,2,90
21182937,Cozy Apartment. 15 mins away from LGA & Manhattan,91646104,Queens,Woodside,40.74371,-73.9109,Entire home/apt,150,3,200
27890781,Hidden gem that's  only 15 minutes from Manhattan.,210687004,Queens,Woodside,40.75537,-73.90741,Private room,83,2,126
3975630,Beautiful 1 bedroom in NYC,20604091,Queens,Woodside,40.74433,-73.91171999999999,Entire home/apt,150,2,294
30307336,Spacious & Luxurious Room near LGA and Manhattan,137358866,Queens,Woodside,40.74458,-73.90751999999999,Private room,50,30,235
34365445,"2 BR Apt close to LGA, JFK & Midtown (3B)",259229690,Queens,Woodside,40.746320000000004,-73.89381999999999,Entire home/apt,179,1,75
34364713,"2 BR Apt close to LGA,JFK & Midtown (3A)",259229690,Queens,Woodside,40.74479,-73.89199,Entire home/apt,179,1,76
34361793,2 BR apt close to LGA / JFK / Midtown (2B),259229690,Queens,Woodside,40.74494,-73.89255,Entire home/apt,150,1,56
26255072,15 min to NYC from a comfy and clean house.,157295347,Queens,Woodside,40.74445,-73.90581,Private room,32,2,365
29863494,Private RM and BR in Queens close to Manhattan,215956658,Queens,Woodside,40.75542,-73.9021,Private room,70,4,34
26456925,Nice Room Near Roosevelt Jackson Heights Station,137358866,Queens,Woodside,40.74033,-73.89341999999999,Private room,33,30,269
33906887,New renovation cozy home 12 min train to Manhattan,251156430,Queens,Woodside,40.74508,-73.90290999999999,Shared room,65,2,89
33917958,"LGA / Midtown, Prime room space w/ elevator +more",137358866,Queens,Woodside,40.745059999999995,-73.90602,Private room,56,30,242
3793161,location Vera,3250450,Queens,Woodside,40.75338,-73.90618,Private room,39,30,318
32169418,Little Cottage,158407820,Queens,Woodside,40.75403,-73.90075999999999,Entire home/apt,98,2,337
29805157,The heart of Queens !!,192773562,Queens,Woodside,40.7415,-73.89249000000001,Private room,60,1,87
19167933,"SUNSHINE 2BR/2 bath 15min to Times Square, LIRR",61316506,Queens,Woodside,40.74341,-73.90041,Entire home/apt,120,1,340
32273036,"Lux room near train station,  LGA & Manhattan.",137358866,Queens,Woodside,40.74609,-73.90632,Private room,41,30,230
26813610,Neat+Nice+Large dining area &  2 min to Subway,19303369,Queens,Woodside,40.74323,-73.90471,Private room,33,37,39
30093843,Johns place,2286764,Queens,Woodside,40.75542,-73.90716,Entire home/apt,125,3,42
30089134,NYC House rent,225616368,Queens,Woodside,40.74217,-73.90218,Entire home/apt,136,2,348
26450631,3 Bedroom Apartment â¢ 20 Minutes from Time Square,198890291,Queens,Woodside,40.74225,-73.90553,Entire home/apt,145,3,133
32240068,Room,177449995,Queens,Woodside,40.745540000000005,-73.89831,Private room,120,2,363
32233982,Spacious Woodside room close to all transporations,137358866,Queens,Woodside,40.74259,-73.91193,Private room,51,30,239
8941820,Ensuite privacy close to Manhattan,46741696,Queens,Woodside,40.74688,-73.90674,Private room,70,3,54
34810330,Subway M/R<2min>& 7 Line<5min> Quiet neighborhood,19303369,Queens,Woodside,40.74637,-73.89933,Private room,33,28,41
30168118,Comfy private BR for a couple! Near train & mall,137358866,Queens,Woodside,40.74041,-73.89029000000001,Private room,49,30,195
13503251,Cozy room near la Guardia airport.,9055702,Queens,Woodside,40.744279999999996,-73.90898,Private room,65,1,278
23840030,"Cozy, Convenient 10 min from Manhattan !",179010070,Queens,Woodside,40.75608,-73.90535,Private room,65,3,354
32423962,Cozy&Bright room in QueensâªGood subway access!,200239515,Queens,Woodside,40.744820000000004,-73.89256,Private room,35,30,61
26252097,Comfy Room for a NYC Stay,157295347,Queens,Woodside,40.74474,-73.90531,Private room,50,1,328
33909151,"Mi casa es tu casa, habitaciÃ³n 2",241565326,Queens,Woodside,40.74351,-73.90405,Private room,44,1,331
8597141,"Private Room, 15min from MANHATTAN",43908809,Queens,Woodside,40.74921,-73.9037,Private room,50,1,65
18198,Little King of Queens,70091,Queens,Woodside,40.75038,-73.90334,Private room,70,30,324
33512307,Cozy Studio in Queens zZZ,252535164,Queens,Woodside,40.74239,-73.9018,Entire home/apt,99,3,236
30400542,Amazingly located private room with huge space!,137358866,Queens,Woodside,40.74405,-73.89994,Private room,42,30,219
35616402,Cozy room for NYC summer rental,152132335,Queens,Woodside,40.741640000000004,-73.90289,Private room,100,5,197
36062221,SHORT TERM STAY,9037589,Queens,Woodside,40.74367,-73.91247,Private room,90,1,179
29930787,Clean Well-Lit NY Room. WiFi & Utilities Included,137358866,Queens,Woodside,40.74484,-73.90959000000001,Private room,40,30,93
1571455,"NEW YORK,  Queens    ""  WELCOME  "" ",8316059,Queens,Woodside,40.74409,-73.89864,Private room,75,2,365
17261922,Townhouse apt. Close to city. 3 bedrooms & 2 bath,116365995,Queens,Woodside,40.74705,-73.90791999999999,Entire home/apt,275,4,283
29980934,"Peaceful Apartment steps from Manhattan, Airports",35632450,Queens,Woodside,40.74951,-73.90786999999999,Entire home/apt,110,2,137
31883238,Living In Art,238975559,Queens,Woodside,40.754129999999996,-73.90204,Entire home/apt,250,2,137
10853955,"Sunny, private room; Quick to NYC. Females only.",35494734,Queens,Woodside,40.75293,-73.90304,Private room,50,4,211
31884808,Woodside with a view (9 minutes from midtown),49289095,Queens,Woodside,40.74395,-73.89984,Private room,75,1,138
32575528,"Woodside RM close to 7 express , airport & Midtown",137358866,Queens,Woodside,40.74228,-73.90049,Private room,43,30,215
30389262,Large Couples Room for that Perfect New York Stay,137358866,Queens,Woodside,40.74635,-73.90774,Private room,62,30,269
27816015,Queens Apartment,210054677,Queens,Woodside,40.74822,-73.90590999999999,Entire home/apt,125,1,95
26608302,â¤ï¸ A Warm Place to Stay. A Clean & Sunny RM,137358866,Queens,Woodside,40.744609999999994,-73.90648,Private room,48,30,238
26898028,"ONE Room ï¿«ï¿«ï¿«20mins to TimesSQ âå½¡  COZY, COZY, COZY",19303369,Queens,Woodside,40.74296,-73.90328000000001,Private room,39,30,32
5233345,Cosy style private bedroom with Queen bed,27084741,Queens,Woodside,40.74436,-73.91141,Private room,90,1,365
15338155,BEAUTIFUL BEDROOM IN COZY APARTMENT,22534244,Queens,Woodside,40.74845,-73.89665,Private room,85,1,364
21621926,Cozy in NYC. 10 mins to LGA /15 to Manhattan,157295347,Queens,Woodside,40.74485,-73.9054,Private room,40,1,332
35634704,WOODSIDE COMFORTABLE ROOM 15 MINUTES FROM THE CITY,266792224,Queens,Woodside,40.748329999999996,-73.90827,Private room,90,2,365
30359944,Gorgeous Room in a renovated Woodside townhouse!,137358866,Queens,Woodside,40.74958,-73.90011,Private room,42,30,235
26200203,Bright 2BR Apartment in Woodside,5726293,Queens,Woodside,40.74382,-73.90879,Private room,60,1,34
8190747,cozy apartment,43203249,Queens,Woodside,40.74715,-73.91104,Private room,75,7,364
28477383,Spacious RM in Quiet Area near LGA & MNHTN express,137358866,Queens,Woodside,40.74301,-73.89458,Private room,50,30,269
28491645,Private room woodside close to all transportations,114249746,Queens,Woodside,40.75249,-73.90041,Private room,45,1,45
13142258,"Great 1 BR, 17 minutes to Times Square!",65652567,Queens,Woodside,40.74377,-73.9024,Entire home/apt,125,2,263
16149186,Cozy private room in the Bronx!,105375380,Bronx,Woodlawn,40.89743,-73.86983000000001,Private room,68,2,39
15273936,*ENJOY NYC*New Renovated Apartment(Private room),95796044,Bronx,Woodlawn,40.882529999999996,-73.86950999999999,Private room,68,1,87
13669391,Spacious 1 bedroom in Woodlawn NYC,79340220,Bronx,Woodlawn,40.899840000000005,-73.86901999999999,Entire home/apt,85,2,299
33117486,Two Bedroom Apt 25 Min From Midtown Manhattan,249297875,Bronx,Woodlawn,40.89768,-73.87363,Entire home/apt,35,2,51
32813862,"Artsy, quiet haven in the Bronxâs little Ireland",8589557,Bronx,Woodlawn,40.899809999999995,-73.86684,Private room,80,2,70
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,716306,Bronx,Woodlawn,40.89747,-73.8639,Entire home/apt,77,1,309
23105516,"NO EXTRA FEES, NO MIN. NITES:  1.5 blocks to train",82889379,Bronx,Woodlawn,40.8987,-73.86389,Private room,29,1,192
29966514,ChinitaBhost QUEENS,225307360,Queens,Woodhaven,40.687059999999995,-73.8645,Private room,45,2,47
24985440,"CHEAP ROOM IN QUEENS, CLOSE TO SUBWAY STATION",463061,Queens,Woodhaven,40.69642,-73.8502,Private room,42,3,281
26754694,"COZY AND ELEGANCE PLACE NEAR JFK, LGA",173290675,Queens,Woodhaven,40.69883,-73.85141999999999,Private room,45,2,50
23129639,â¢â¢RARE Modern Apt For 2019 Next to Subway & JFKâ¢â¢,161349813,Queens,Woodhaven,40.69113,-73.86778000000001,Entire home/apt,106,4,113
27285454,La Estancia,205543083,Queens,Woodhaven,40.6905,-73.86117,Private room,80,3,342
1767037,Small Cozy Room Wifi & AC near JFK,9284163,Queens,Woodhaven,40.689679999999996,-73.85219000000001,Private room,29,2,50
14487072,Private room with own T.V.,52577963,Queens,Woodhaven,40.69461,-73.8486,Private room,45,5,216
36076181,3 Bedroom Penthouse minutes from JFK and Manhattan,34023353,Queens,Woodhaven,40.69855,-73.85279,Private room,130,1,89
35539920,#1 Hotel-Like Private Room King Bed Near JFK,263504959,Queens,Woodhaven,40.69158,-73.86578,Private room,50,1,273
13394748,Cozy Spacious Double Bed #2A Near JFK & J Train,62843071,Queens,Woodhaven,40.69628,-73.85255,Private room,45,1,287
34665010,Entire Newly Renovated 2 Bedroom Private Home,52577963,Queens,Woodhaven,40.69101,-73.8486,Entire home/apt,199,5,338
13042752,Cozy Spacious Double Bed #1 Near JFK and J Train,62843071,Queens,Woodhaven,40.69617,-73.85204,Private room,45,1,278
29253322,"Female only, Private room,3 min walking to metro J",219930693,Queens,Woodhaven,40.69102,-73.86089,Private room,90,2,89
33655084,Woodhaven Castle,47516406,Queens,Woodhaven,40.6898,-73.86077,Private room,45,7,360
25837948,Beautiful room(s) near JFK airport,156547988,Queens,Woodhaven,40.68853,-73.85474,Private room,60,1,335
36145727,Park side Apt in front of Forest Park,271867677,Queens,Woodhaven,40.69658,-73.85615,Private room,50,1,359
33997927,Private Room in Queens NYC,679431,Queens,Woodhaven,40.69345,-73.86674000000001,Private room,65,2,180
13156842,Cozy Private Room #2 Two Beds Near JFK and J Train,62843071,Queens,Woodhaven,40.69546,-73.85061999999999,Private room,38,1,192
26076877,CONFORTABLE BIG BED ON NY CLOSE TO JFK AND LGA,173290675,Queens,Woodhaven,40.69791,-73.85158,Private room,40,2,330
33431994,Entire Cozy 3 Bedroom in private home,52577963,Queens,Woodhaven,40.694590000000005,-73.85081,Entire home/apt,150,5,121
35710560,"â¥â¥1*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360,Queens,Woodhaven,40.69343,-73.86745,Private room,60,3,50
33430450,"HOTEL ROOM LIKE âLâ
AFFORDABLE PRICE",59156312,Queens,Woodhaven,40.68727,-73.86413,Private room,59,3,361
35711535,"â¥â¥2*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360,Queens,Woodhaven,40.69482,-73.86747,Private room,60,3,41
33605327,"SMALL ROOM NO WINDOW, NO AIR CONDITIONER V-ROOM",59156312,Queens,Woodhaven,40.6875,-73.8664,Private room,39,3,358
29515558,"A Comfortable Place, 15 min to JFK & 30 min to NYC",210339363,Queens,Woodhaven,40.6854,-73.8623,Private room,50,3,44
34974475,#8 Hotel-Like 1 Bedroom Apartment KINGBed near JFK,263504959,Queens,Woodhaven,40.691140000000004,-73.86459,Entire home/apt,48,1,305
23104347,*Rare Spacious Apartment Near JFK/Subway for 2019*,21784559,Queens,Woodhaven,40.69017,-73.86683000000001,Entire home/apt,90,4,106
14141622,Private cozy  suite,85375269,Queens,Woodhaven,40.689040000000006,-73.85051999999999,Entire home/apt,71,1,173
14142298,Charming and bright place with a good vibe!,46667080,Queens,Woodhaven,40.6905,-73.85611999999999,Entire home/apt,85,2,52
20818955,Cozy Room in a Friendly House CLOSE TO SUBWAY,463061,Queens,Woodhaven,40.69621,-73.8502,Private room,49,2,96
3302932,Whole beautiful house with Backyard,2082345,Queens,Woodhaven,40.69165,-73.84841,Entire home/apt,250,5,32
20173308,Cozy Private Rm #2C Two Beds Near JFK and J Train,62843071,Queens,Woodhaven,40.696059999999996,-73.85226,Private room,55,1,248
18040970,HOTEL ROOM LIKE WITH AFFORDABLE RATE!!!   âCâ,59156312,Queens,Woodhaven,40.68655,-73.86491,Private room,69,3,332
30797190,#1 JFK/NYC Home sweet home!,37891510,Queens,Woodhaven,40.68577,-73.85984,Private room,45,3,54
36241914,"â¥â¥â¥*NYC Room: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360,Queens,Woodhaven,40.69342,-73.8684,Private room,55,4,150
33168074,Homely Peaceful Apartment. Close to JFK,77393311,Queens,Woodhaven,40.69567,-73.84949,Private room,50,2,174
17517940,"ç®åçåæ¿ä¸åä¸¤å«çé´,ä½äºåä¸è¿ç¦»å¼è¾,èµ°è·¯ååéå°å°éç«,äº¤éä¾¿å©
Simple bigroom",114104868,Queens,Woodhaven,40.69883,-73.85257,Private room,65,3,365
35946932,Very Clean Private Room Near Buses & Restaurants!!,118405437,Queens,Woodhaven,40.69405,-73.86693000000001,Private room,66,2,364
2939670,"Bright Room Near JFK ,LGA &  Train with AC",15009272,Queens,Woodhaven,40.6955,-73.86281,Private room,53,3,189
29237852,Private room 3 min walking to J train(female only),219930693,Queens,Woodhaven,40.69034,-73.86268000000001,Private room,90,2,180
36455321,#6 New Hotel-Like Private Room QUEEN Bed near JFK,263504959,Queens,Woodhaven,40.691829999999996,-73.86523000000001,Private room,34,1,320
24526035,"HOTEL ROOM LIKE!!  WITH AFFORDABLE RATE!!   ""R""",59156312,Queens,Woodhaven,40.68765,-73.865,Private room,99,3,343
10231294,Cozy private room with own TV,52577963,Queens,Woodhaven,40.69454,-73.85041,Private room,45,5,212
31220603,Cozy Woodhaven,1720151,Queens,Woodhaven,40.68923,-73.85304000000001,Entire home/apt,75,1,325
32547350,"Quiet & Elegant, 30 mins to midtown Manhattan!",56403037,Queens,Woodhaven,40.688990000000004,-73.85001,Shared room,35,1,53
31459956,#2 Minutes to JFK!!!,37891510,Queens,Woodhaven,40.687090000000005,-73.85982,Private room,55,4,360
36372006,Very Clean Private Room Near Buses & Restaurants!!,118405437,Queens,Woodhaven,40.694109999999995,-73.86877,Private room,66,1,365
35875858,#3 Hotel-Like LOFT Private Room KING Bed Near JFK,263504959,Queens,Woodhaven,40.69298,-73.86395999999999,Private room,50,1,288
27523125,âPrivate Guest Suite in a great location â,40511430,Queens,Woodhaven,40.697829999999996,-73.85221,Private room,70,2,108
35081665,#2 Hotel-like Private Room KING Bed near JFK,263504959,Queens,Woodhaven,40.6929,-73.86378,Private room,50,1,273
23310309,MY HOUSE ON NEW YORK!! CLOSE TO JFK AND LGA,173290675,Queens,Woodhaven,40.69907,-73.85161,Shared room,34,1,348
36457832,"â¥NYC Apt: 4min/subway, 25m/city, 20m/LGA,JFKâ¥",63272360,Queens,Woodhaven,40.69482,-73.86618,Entire home/apt,85,3,300
19245930,"HOTEL ROOM LIKE!!!   WITH AFFORDABLE RATE!!!   ""Sâ",59156312,Queens,Woodhaven,40.686409999999995,-73.86635,Private room,69,3,357
31864884,Elegant &Classical. 30 mins to midtown  Manhattan!,56403037,Queens,Woodhaven,40.68793,-73.84975,Private room,42,1,121
2942129,"Bright Large  Room near JFK, LGA & Train 2 beds",15009272,Queens,Woodhaven,40.694140000000004,-73.86324,Private room,40,3,291
6776698,JFK SPACIOUS ROOM / A  4  BLOCKS TO SUBWAY,9284163,Queens,Woodhaven,40.68955,-73.85348,Private room,39,2,346
6775943,JFK Studio Flat with Kitchen and Private bathroom,9284163,Queens,Woodhaven,40.689820000000005,-73.85379,Entire home/apt,65,2,311
36455649,#7 New Hotel-Like Private Room KING bed near JFK,263504959,Queens,Woodhaven,40.69137,-73.86591,Private room,35,1,341
15031599,Lovely Cozy private room with own Television,52577963,Queens,Woodhaven,40.696259999999995,-73.8488,Private room,45,5,238
36454717,#5 New Hotel-Like Private Room  KING bed near JFK,263504959,Queens,Woodhaven,40.69185,-73.86431,Private room,37,1,352
36452965,"â¥â¥NYC Apt: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360,Queens,Woodhaven,40.69389,-73.86823000000001,Entire home/apt,140,3,232
31178681,"HOTEL ROOM LIKE âTâ
AFFORDABLE PRICE",59156312,Queens,Woodhaven,40.687709999999996,-73.86456,Private room,89,3,358
31234360,"Separate PRIVATE ROOM furnished, 5 min to A train",107930075,Queens,Woodhaven,40.69034,-73.84611,Private room,50,3,178
35874901,JFKQueensComfort. Private Room -Welcome Long Stays,105444832,Queens,Woodhaven,40.68931,-73.85485,Private room,35,9,246
